ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Płeć,Wiek (ukończony w latach),Wykształcenie,Wyrażam świadomą i dobrowolną zgodę na udział w badaniu.,Takie widoki w przestrzeni publicznej są normalne [1/10],Takie widoki w przestrzeni publicznej są normalne [2/10],Takie widoki w przestrzeni publicznej są normalne [3/10],Takie widoki w przestrzeni publicznej są normalne [4/10],Takie widoki w przestrzeni publicznej są normalne [5/10],Takie widoki w przestrzeni publicznej są normalne [6/10],Takie widoki w przestrzeni publicznej są normalne [7/10],Takie widoki w przestrzeni publicznej są normalne [8/10],Takie widoki w przestrzeni publicznej są normalne [9/10],Takie widoki w przestrzeni publicznej są normalne [10/10]
35,3.4.22 10:11:42,3.4.22 10:18:11,anonymous,Mężczyzna,29,Wyższe,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
36,3.5.22 18:16:25,3.5.22 18:26:19,anonymous,Mężczyzna,22,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,5 – zgadzam się
37,3.5.22 18:34:40,3.5.22 18:45:10,anonymous,Mężczyzna,22,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam
38,3.15.22 9:23:02,3.15.22 9:28:07,anonymous,Mężczyzna,25,Wyższe,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
39,3.15.22 9:34:59,3.15.22 9:35:33,anonymous,Mężczyzna,21,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się,5 – zgadzam się,6 – zdecydowanie się zgadzam
40,3.15.22 11:45:22,3.15.22 11:52:30,anonymous,Mężczyzna,21,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
41,3.15.22 11:53:48,3.15.22 11:53:51,anonymous,Kobieta,,,,,,,,,,,,,
42,3.15.22 19:10:10,3.15.22 19:17:07,anonymous,Mężczyzna,21,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,4 – raczej się zgadzam,5 – zgadzam się,4 – raczej się zgadzam,5 – zgadzam się
43,3.15.22 22:45:49,3.15.22 22:56:23,anonymous,Mężczyzna,26,Wyższe,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,1 – zdecydowanie się nie zgadzam
44,3.15.22 23:07:52,3.15.22 23:07:57,anonymous,Kobieta,,,,,,,,,,,,,
